"Indicator Name","Indicator Code","Country Name","Country Code","Year","Value","Disaggregation"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Afghanistan","AFG","1985","1.500","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Afghanistan","AFG","1984","1.400","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Afghanistan","AFG","1983","1.300","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Afghanistan","AFG","1982","1.200","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Afghanistan","AFG","1981","1.100","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Afghanistan","AFG","1980","1.100","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Afghanistan","AFG","1979","1.000","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Afghanistan","AFG","1978","0.900","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Afghanistan","AFG","1977","0.900","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Afghanistan","AFG","1976","0.800","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Afghanistan","AFG","1975","0.800","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Albania","ALB","2016","21.800","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Albania","ALB","2015","21.300","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Albania","ALB","2014","20.800","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Albania","ALB","2013","20.400","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Albania","ALB","2012","19.900","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Albania","ALB","2011","19.400","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Albania","ALB","2010","18.900","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Albania","ALB","2009","18.400","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Albania","ALB","2008","18.000","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Albania","ALB","2007","17.500","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Albania","ALB","2006","17.100","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Albania","ALB","2005","16.600","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Albania","ALB","2004","16.200","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Albania","ALB","2003","15.800","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Albania","ALB","2002","15.400","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Albania","ALB","2001","15.000","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Albania","ALB","2000","14.700","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Albania","ALB","1999","14.300","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Albania","ALB","1998","14.000","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Albania","ALB","1997","13.700","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Albania","ALB","1996","13.400","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Albania","ALB","1995","13.100","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Albania","ALB","1994","12.800","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Albania","ALB","1993","12.500","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Albania","ALB","1992","12.200","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Albania","ALB","1991","12.000","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Albania","ALB","1990","11.700","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Albania","ALB","1989","11.500","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Albania","ALB","1988","11.300","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Albania","ALB","1987","11.000","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Albania","ALB","1986","10.800","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Albania","ALB","1985","10.600","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Albania","ALB","1984","10.300","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Albania","ALB","1983","10.100","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Albania","ALB","1982","9.900","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Albania","ALB","1981","9.700","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Albania","ALB","1980","9.500","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Albania","ALB","1979","9.300","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Albania","ALB","1978","9.100","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Albania","ALB","1977","8.900","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Albania","ALB","1976","8.800","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Albania","ALB","1975","8.600","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Algeria","DZA","2016","34.900","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Algeria","DZA","2015","34.200","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Algeria","DZA","2014","33.600","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Algeria","DZA","2013","32.900","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Algeria","DZA","2012","32.200","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Algeria","DZA","2011","31.500","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Algeria","DZA","2010","30.900","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Algeria","DZA","2009","30.200","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Algeria","DZA","2008","29.500","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Algeria","DZA","2007","28.800","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Algeria","DZA","2006","28.200","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Algeria","DZA","2005","27.500","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Algeria","DZA","2004","26.800","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Algeria","DZA","2003","26.200","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Algeria","DZA","2002","25.500","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Algeria","DZA","2001","24.900","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Algeria","DZA","2000","24.200","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Algeria","DZA","1999","23.600","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Algeria","DZA","1998","23.000","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Algeria","DZA","1997","22.400","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Algeria","DZA","1996","21.700","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Algeria","DZA","1995","21.100","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Algeria","DZA","1994","20.500","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Algeria","DZA","1993","19.900","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Algeria","DZA","1992","19.300","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Algeria","DZA","1991","18.700","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Algeria","DZA","1990","18.100","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Algeria","DZA","1989","17.500","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Algeria","DZA","1988","16.900","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Algeria","DZA","1987","16.300","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Algeria","DZA","1986","15.700","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Algeria","DZA","1985","15.200","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Algeria","DZA","1984","14.600","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Algeria","DZA","1983","14.100","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Algeria","DZA","1982","13.600","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Algeria","DZA","1981","13.100","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Algeria","DZA","1980","12.700","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Algeria","DZA","1979","12.200","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Algeria","DZA","1978","11.800","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Algeria","DZA","1977","11.400","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Algeria","DZA","1976","11.100","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Algeria","DZA","1975","10.700","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Andorra","AND","2016","25.300","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Andorra","AND","2015","25.200","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Andorra","AND","2014","25.100","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Andorra","AND","2013","25.100","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Andorra","AND","2012","25.000","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Andorra","AND","2011","24.900","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Andorra","AND","2010","24.800","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Andorra","AND","2009","24.700","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Andorra","AND","2008","24.600","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Andorra","AND","2007","24.500","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Andorra","AND","2006","24.500","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Andorra","AND","2005","24.400","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Andorra","AND","2004","24.300","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Andorra","AND","2003","24.100","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Andorra","AND","2002","24.000","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Andorra","AND","2001","23.900","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Andorra","AND","2000","23.800","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Andorra","AND","1999","23.600","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Andorra","AND","1998","23.500","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Andorra","AND","1997","23.300","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Andorra","AND","1996","23.100","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Andorra","AND","1995","23.000","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Andorra","AND","1994","22.800","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Andorra","AND","1993","22.600","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Andorra","AND","1992","22.500","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Andorra","AND","1991","22.300","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Andorra","AND","1990","22.100","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Andorra","AND","1989","21.800","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Andorra","AND","1988","21.600","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Andorra","AND","1987","21.300","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Andorra","AND","1986","21.000","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Andorra","AND","1985","20.600","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Andorra","AND","1984","20.200","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Andorra","AND","1983","19.800","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Andorra","AND","1982","19.400","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Andorra","AND","1981","18.900","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Andorra","AND","1980","18.500","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Andorra","AND","1979","18.000","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Andorra","AND","1978","17.500","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Andorra","AND","1977","16.900","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Andorra","AND","1976","16.400","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Andorra","AND","1975","15.800","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Angola","AGO","2016","12.100","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Angola","AGO","2015","11.600","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Angola","AGO","2014","11.100","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Angola","AGO","2013","10.600","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Angola","AGO","2012","10.200","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Angola","AGO","2011","9.700","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Angola","AGO","2010","9.300","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Angola","AGO","2009","8.800","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Angola","AGO","2008","8.400","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Angola","AGO","2007","8.000","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Angola","AGO","2006","7.700","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Angola","AGO","2005","7.300","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Angola","AGO","2004","6.900","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Angola","AGO","2003","6.600","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Angola","AGO","2002","6.300","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Angola","AGO","2001","5.900","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Angola","AGO","2000","5.600","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Angola","AGO","1999","5.300","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Angola","AGO","1998","5.100","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Angola","AGO","1997","4.800","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Angola","AGO","1996","4.500","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Angola","AGO","1995","4.300","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Angola","AGO","1994","4.100","female"
"Prevalence of obesity, female (% of female population ages 18+)","SH.STA.OB18.FE.ZS","Angola","AGO","1993","3.800","female"
